행정코드,행정동명,상권업종소분류명,상권업종소분류코드,점포수,매출
2611058000,남포동,일식 카레/돈가스/덮밥,I20302,2,31300000
2611058000,남포동,일식 면 요리,I20303,1,33540000
2611058000,남포동,기타 일식 음식점,I20399,,
2611058000,남포동,경양식,I20401,8,23210000
2611058000,남포동,파스타/스테이크,I20402,1,21820000
2611058000,남포동,패밀리레스토랑,I20403,,
2611058000,남포동,기타 서양식 음식점,I20499,,
2611058000,남포동,베트남식 전문,I20501,2,15700000
2611058000,남포동,기타 동남아식 전문,I20599,,
2611058000,남포동,구내식당,I20701,,
2611058000,남포동,뷔페,I20702,2,165820000
2611058000,남포동,빵/도넛,I21001,10,22960000
2611058000,남포동,떡/한과,I21002,,
2611058000,남포동,피자,I21003,2,49050000
2611058000,남포동,버거,I21004,,28340000
2611058000,남포동,토스트/샌드위치/샐러드,I21005,1,11430000
2611058000,남포동,치킨,I21006,6,18200000
2611058000,남포동,김밥/만두/분식,I21007,13,28340000
2611058000,남포동,아이스크림/빙수,I21008,,28340000
2611058000,남포동,그 외 기타 간이 음식점,I21099,6,9200000
2611058000,남포동,일반 유흥주점,I21101,46,11410000
2611058000,남포동,무도 유흥주점,I21102,,
2611058000,남포동,생맥주 전문,I21103,8,16270000
2611058000,남포동,요리주점,I21104,82,21270000
2611058000,남포동,카페,I21201,50,28340000
2611059000,영주1동,백반/한정식,I20101,19,13080000
2611059000,영주1동,국/탕/찌개류,I20102,1,16300000
2611059000,영주1동,족발/보쌈,I20103,1,4150000
2611059000,영주1동,전/부침개,I20104,,
2611059000,영주1동,국수/칼국수,I20105,1,11310000
2611059000,영주1동,냉면/밀면,I20106,,
2611059000,영주1동,돼지고기 구이/찜,I20107,6,30180000
2611059000,영주1동,소고기 구이/찜,I20108,,
2611059000,영주1동,곱창 전골/구이,I20109,,
2611059000,영주1동,닭/오리 고기 구이/찜,I20110,1,6560000
2611059000,영주1동,횟집,I20111,1,30270000
2611059000,영주1동,해산물 구이/찜,I20112,,
2611059000,영주1동,복 요리 전문,I20113,,
2611059000,영주1동,기타 한식 음식점,I20199,,
2611059000,영주1동,중국집,I20201,3,27900000
2611059000,영주1동,마라탕/훠궈,I20202,,
2611059000,영주1동,일식 회/초밥,I20301,,
2611059000,영주1동,일식 카레/돈가스/덮밥,I20302,,
2611059000,영주1동,일식 면 요리,I20303,,
2611059000,영주1동,기타 일식 음식점,I20399,,
2611059000,영주1동,경양식,I20401,3,11410000
2611059000,영주1동,파스타/스테이크,I20402,,
2611059000,영주1동,패밀리레스토랑,I20403,,
2611059000,영주1동,기타 서양식 음식점,I20499,,
2611059000,영주1동,베트남식 전문,I20501,,
2611059000,영주1동,기타 동남아식 전문,I20599,,
2611059000,영주1동,구내식당,I20701,,
2611059000,영주1동,뷔페,I20702,,
2611059000,영주1동,빵/도넛,I21001,2,38250000
2611059000,영주1동,떡/한과,I21002,,
2611059000,영주1동,피자,I21003,2,9190000
2611059000,영주1동,버거,I21004,,26950000
2611059000,영주1동,토스트/샌드위치/샐러드,I21005,,
2611059000,영주1동,치킨,I21006,4,7180000
2611059000,영주1동,김밥/만두/분식,I21007,3,26950000
2611059000,영주1동,아이스크림/빙수,I21008,,26950000
2611059000,영주1동,그 외 기타 간이 음식점,I21099,1,2590000
2611059000,영주1동,일반 유흥주점,I21101,4,7940000
2611059000,영주1동,무도 유흥주점,I21102,,
2611059000,영주1동,생맥주 전문,I21103,,
2611059000,영주1동,요리주점,I21104,12,12360000
2611059000,영주1동,카페,I21201,3,26950000
2611060000,영주2동,백반/한정식,I20101,8,14480000
2611060000,영주2동,국/탕/찌개류,I20102,,
2611060000,영주2동,족발/보쌈,I20103,,
2611060000,영주2동,전/부침개,I20104,,
2611060000,영주2동,국수/칼국수,I20105,,
2611060000,영주2동,냉면/밀면,I20106,,
2611060000,영주2동,돼지고기 구이/찜,I20107,,
2611060000,영주2동,소고기 구이/찜,I20108,,
2611060000,영주2동,곱창 전골/구이,I20109,,
2611060000,영주2동,닭/오리 고기 구이/찜,I20110,,
2611060000,영주2동,횟집,I20111,2,22120000
2611060000,영주2동,해산물 구이/찜,I20112,,
2611060000,영주2동,복 요리 전문,I20113,,
2611060000,영주2동,기타 한식 음식점,I20199,1,3350000
2611060000,영주2동,중국집,I20201,2,23540000
2611060000,영주2동,마라탕/훠궈,I20202,,
2611060000,영주2동,일식 회/초밥,I20301,,
2611060000,영주2동,일식 카레/돈가스/덮밥,I20302,,
2611060000,영주2동,일식 면 요리,I20303,,
2611060000,영주2동,기타 일식 음식점,I20399,,
2611060000,영주2동,경양식,I20401,,
2611060000,영주2동,파스타/스테이크,I20402,,
2611060000,영주2동,패밀리레스토랑,I20403,,
2611060000,영주2동,기타 서양식 음식점,I20499,,
2611060000,영주2동,베트남식 전문,I20501,,
2611060000,영주2동,기타 동남아식 전문,I20599,,
2611060000,영주2동,구내식당,I20701,,
2611060000,영주2동,뷔페,I20702,,
2611060000,영주2동,빵/도넛,I21001,,
2611060000,영주2동,떡/한과,I21002,,
2611060000,영주2동,피자,I21003,,
2611060000,영주2동,버거,I21004,,23600000
2611060000,영주2동,토스트/샌드위치/샐러드,I21005,,
2611060000,영주2동,치킨,I21006,3,7760000
2611060000,영주2동,김밥/만두/분식,I21007,,23600000
2611060000,영주2동,아이스크림/빙수,I21008,,23600000
2611060000,영주2동,그 외 기타 간이 음식점,I21099,,
2611060000,영주2동,일반 유흥주점,I21101,1,10230000
2611060000,영주2동,무도 유흥주점,I21102,,
2611060000,영주2동,생맥주 전문,I21103,,
2611060000,영주2동,요리주점,I21104,5,10130000
2611060000,영주2동,카페,I21201,6,23600000
2614051000,동대신1동,백반/한정식,I20101,10,16060000
2614051000,동대신1동,국/탕/찌개류,I20102,1,
2614051000,동대신1동,족발/보쌈,I20103,,
2614051000,동대신1동,전/부침개,I20104,,
2614051000,동대신1동,국수/칼국수,I20105,1,9070000
2614051000,동대신1동,냉면/밀면,I20106,,
2614051000,동대신1동,돼지고기 구이/찜,I20107,5,144590000
2614051000,동대신1동,소고기 구이/찜,I20108,,
2614051000,동대신1동,곱창 전골/구이,I20109,,
2614051000,동대신1동,닭/오리 고기 구이/찜,I20110,,
2614051000,동대신1동,횟집,I20111,3,17130000
2614051000,동대신1동,해산물 구이/찜,I20112,4,8380000
2614051000,동대신1동,복 요리 전문,I20113,,
2614051000,동대신1동,기타 한식 음식점,I20199,,
2614051000,동대신1동,중국집,I20201,1,11210000
2614051000,동대신1동,마라탕/훠궈,I20202,,
2614051000,동대신1동,일식 회/초밥,I20301,1,20790000
2614051000,동대신1동,일식 카레/돈가스/덮밥,I20302,,
2614051000,동대신1동,일식 면 요리,I20303,,
2614051000,동대신1동,기타 일식 음식점,I20399,,
2614051000,동대신1동,경양식,I20401,,
2614051000,동대신1동,파스타/스테이크,I20402,,
2614051000,동대신1동,패밀리레스토랑,I20403,,
2614051000,동대신1동,기타 서양식 음식점,I20499,,
2614051000,동대신1동,베트남식 전문,I20501,,
2614051000,동대신1동,기타 동남아식 전문,I20599,,
2614051000,동대신1동,구내식당,I20701,,
2614051000,동대신1동,뷔페,I20702,,
2614051000,동대신1동,빵/도넛,I21001,3,15990000
2614051000,동대신1동,떡/한과,I21002,5,4820000
2614051000,동대신1동,피자,I21003,5,8780000
2614051000,동대신1동,버거,I21004,1,22860000
2614051000,동대신1동,토스트/샌드위치/샐러드,I21005,,
2614051000,동대신1동,치킨,I21006,10,7120000
2614051000,동대신1동,김밥/만두/분식,I21007,4,22860000
2614051000,동대신1동,아이스크림/빙수,I21008,,22860000
2614051000,동대신1동,그 외 기타 간이 음식점,I21099,1,
2614051000,동대신1동,일반 유흥주점,I21101,1,7890000
2614051000,동대신1동,무도 유흥주점,I21102,,
2614051000,동대신1동,생맥주 전문,I21103,,
2614051000,동대신1동,요리주점,I21104,1,6990000
2614051000,동대신1동,카페,I21201,6,22860000
2614052000,동대신2동,백반/한정식,I20101,20,13020000
2614052000,동대신2동,국/탕/찌개류,I20102,2,10090000
2614052000,동대신2동,족발/보쌈,I20103,5,9870000
2614052000,동대신2동,전/부침개,I20104,,
